date,temperature,humidity,wind_speed,cloud_cover,solar_irradiance,total_yield
2019-01-01,34.188,87.757,2.009,44.668,522.344,644.508
2019-01-02,30.363,81.756,1.775,75.835,586.88,947.211
2019-01-03,32.409,85.564,2.17,77.411,675.745,745.945
2019-01-04,28.039,94.468,2.398,50.285,564.801,764.602
2019-01-05,30.302,80.253,1.182,41.552,533.27,999.613
2019-01-06,28.197,84.94,1.49,57.963,714.055,898.989
2019-01-07,28.593,91.935,2.689,53.703,508.599,497.423
2019-01-08,33.403,88.444,1.983,47.447,797.033,831.99
2019-01-09,35.54,73.697,2.231,76.943,526.441,681.718
2019-01-10,29.699,74.631,1.295,64.696,690.263,408.939
2019-01-11,33.67,76.536,1.386,52.596,762.613,935.117
2019-01-12,29.161,71.84,1.149,77.408,412.027,821.119
2019-01-13,28.649,86.292,1.132,74.883,719.159,635.269
2019-01-14,34.509,79.745,2.755,76.231,620.592,809.134
2019-01-15,35.748,72.948,1.177,61.066,707.394,352.907
2019-01-16,30.704,94.641,2.565,57.715,506.633,720.183
2019-01-17,31.435,88.913,1.513,57.477,702.497,736.129
2019-01-18,33.471,94.926,2.576,46.546,780.882,882.825
2019-01-19,30.892,70.254,2.642,63.733,601.15,302.499
2019-01-20,28.083,80.585,2.702,72.258,649.323,537.865
2019-01-21,32.415,86.32,1.622,55.315,600.319,753.924
2019-01-22,30.181,77.564,1.779,66.094,703.836,490.66
2019-01-23,33.318,86.159,1.474,52.259,689.651,871.801
2019-01-24,29.866,84.933,2.117,56.949,461.581,630.471
2019-01-25,32.638,79.985,2.551,43.885,563.973,482.691
2019-01-26,35.614,75.961,1.586,47.666,501.364,407.126
2019-01-27,33.485,79.706,2.064,45.659,456.439,716.654
2019-01-28,33.624,78.445,2.361,45.561,654.451,976.893
2019-01-29,34.636,94.449,1.354,78.152,513.25,770.947
2019-01-30,31.188,77.657,2.303,76.213,661.401,512.519
2019-01-31,33.614,77.023,1.795,48.988,405.678,297.888
2019-02-01,33.484,70.838,1.979,62.531,481.67,952.74
2019-02-02,28.877,85.446,2.612,42.424,589.653,838.742
2019-02-03,30.476,87.016,2.51,67.903,786.505,330.892
2019-02-04,28.694,85.509,2.789,76.795,511.599,359.179
2019-02-05,28.48,77.22,2.459,77.27,752.356,469.114
2019-02-06,31.385,90.53,2.214,64.67,532.283,984.289
